136	858	~CHISA VINIL
138	477	BERMOCOLL481FQ
140	501	BIOXIDO DE TITANEO
141	526	RESINA
142	552	CAOLIN
144	577	ADECIDE
144	596	MONOETILIENGLICOL
145	622	ANTIESPUMANTE
146	644	DISPERSANTE
146	881	PINTURA VINILICA
147	665	TRIPOLIFOSFATO DEPOTASIC
147	833	PRAIMER GLASS
148	695	AMONIACO
150	741	TEXANOL
151	720	AGUA
225	527	W-4535V
226	553	M-325
477	454	100.00%
484	523	23.22%RESINA
484	547	43.49%CAOLIN
487	710	23.95%AGUA
488	472	0.27%BERMOCOLL481FQ
490	495	7.00%BIOXIDODETITANEO
494	570	0.14%ADECIDE
495	591	0.50% MONOETILIENGLICOL
495	687	0.12%AMONIACO
496	616	0.30%ANTIESPUMANTE
498	640	0.29%DISPERSANTE
498	661	0.07%TRIPOLIFOSFATO DEPOTASIO
498	733	0.65%TEXANOL
561	848	CUBETA
564	877	KILOS
638	521	W-4535V
638	547	M-325
1002	867	27.000
1007	446	27.000
1011	543	11.742
1013	727	0.176
1014	705	6.467
1015	681	0.032
1016	471	0.073
1016	567	0.038
1016	590	0.135
1016	660	0.019
1017	521	6.269
1017	614	0.081
1017	637	0.078
1018	496	1.890
