127	579	SULFATO DE SODIO
127	603	NATROSOL TILOSE
127	846	SOLUCION FASE ACUOSA
128	497	GOMADEXHATAN
128	552	ADECIDE
129	469	AMONIACO
129	524	SKEN M-8
131	633	AGUA
557	452	100.00%
562	641	98.25%AGUA
572	612	0.19% NATROSOL TILOSE
575	480	0.02%AMONIACO
575	587	0.12% SULFATODE SODIO
577	507	0.58%GOMADEXHATAN
577	533	0.42% SKEN M-8
577	560	0.42%ADECIDE
640	855	KILOS
1068	863	600.000
1074	651	589.500
1081	464	600.000
1100	628	1.140
1102	599	0.720
1103	574	2.520
1104	495	0.120
1104	520	3.480
1104	546	2.520
