197	257	AZUL
197	278	NEGRO
197	333	BLANCO
199	240	VERDE
199	298	ROJO
199	315	AMARILLO
199	408	NEGRO
200	428	VERDE
202	500	AMARILLO
203	520	BLANCO
204	536	COLORCREMA
208	591	NEGRO
208	608	AMARILLO
210	628	ROJO
211	644	AZUL
211	661	BLANCO
212	677	COLORAZUL
214	727	NEGRO
215	745	ROJO
216	777	BLANCO
216	793	COLORCAFE
217	826	CHISA GLASSREF T034
218	764	AMARILLO
380	576	100.00%
381	393	100.00%
381	487	100.00%
383	522	98.00%
384	412	3.00%
384	432	97.00%
385	224	10.644
385	718	100.00%
386	505	2.00%
386	629	17.71%
386	665	55.23%
388	649	14.81%
388	763	26.86%
389	244	0.475
389	597	7.02%
389	614	5.23%
390	261	0.082
390	337	9.384
390	750	25.00%
391	318	0.359
391	734	9.72%
391	783	38.42%
392	282	0.108
392	301	0.236
470	224	$295.83
474	523	85.00%BLANCO
477	318	$48.85
478	245	548.59
478	282	$48.59
478	301	$48.88
479	340	$56.78
479	648	5.20%AZUL
480	264	544.14
480	411	4.60%NEGRO
482	769	5.20%AMARILLO
524	669	BLANCO
525	508	AMARILLO
525	756	ROJO
525	789	BLANCO
526	615	AMARILLO
526	637	ROJO
527	434	VERDE
527	599	NEGRO
527	739	NEGRO
527	838	KILOS
627	339	$532.82
629	223	$593.84
633	321	$17.54
636	304	$11.54
637	248	$23.08
641	262	$3.62
641	283	$5.25
716	845	19.350
726	745	0.054
726	761	0.138
726	779	0.149
726	796	0.213
727	729	0.553
729	658	0.082
729	676	0.306
730	584	0.553
730	605	0.039
730	623	0.029
730	641	0.098
731	529	8.865
733	495	9.046
733	513	0.181
734	399	0.490
736	420	0.015
736	438	0.475
776	324	FASEACUOSA
821	781	45.00%
827	661	45.00%
829	796	1.006 FASEACUOSA
833	515	45.00%
833	676	1.006 FASE ACUOSA
834	531	16.448 FASE ACUOSA
835	421	45.00%
841	437	0.890 FASEACUOSA
844	308	8.706
923	783	0.453
934	663	0.453
939	518	7.401
944	424	0.401
948	309	$3.20
1035	330	$593.84
1037	286	$621.70
1043	312	$2786
