137	500	SOLUCION DEAEROSIL200
138	476	AGUA
140	525	ANTITERRA204
141	552	LECITINA DESOYA
141	576	PARAFINA CLORADA（S-52)
141	600	CARBONATODEOMYA CAR1T
142	625	BIOXIDO DETITANEO
142	649	TIXOGELEZ-100
142	698	SOLUCION DE RESINA
143	675	EXXOLD-40
143	794	BASEORGANICA BLANCA
544	465	100.00%
545	716	31.25%SOLUCIONDERESINA
547	692	17.26%EXXOLD-40
550	643	17.16%BIOXIDODETITANEO
552	514	21.30% SOLUCION DE AEROSIL 200
552	668	1.81%TIXOGELEZ-100
555	492	0.18%AGUA
559	620	9.10%
562	543	0.04%ANTITERRA204
562	594	1.80%PARAFINA CLORADA(S-52)
563	568	0.10%LECITINADESOYA
618	813	KILOS
625	622	CARBONATO DEOMYA CAR1T
1008	826	1000.000
1027	733	312.500
1032	710	172.600
1038	665	171.600
1038	689	18.100
1042	488	1000.000
1046	538	213.000
1047	639	91.000
1052	615	18.000
1060	519	1.800
1062	588	1.000
1064	567	0.400
