104	473	LECITINA DESOYA
104	520	SOLUCION DE AEROSIL
104	635	SOLUCION DERESINA
104	727	BASE ORGANICA NARANJA
105	498	AGUA
106	568	CARBONATO DEOMYA CAR 1-T
106	591	TIXOGELEZ-100
106	613	EXXOLD-40
106	759	AZULYROJO CARMIN
107	546	TINTAAZUL
474	459	100.00%
480	645	23.59%SOLUCION DERESINA
481	622	23.51%EXXOLD-40
482	575	17.61%CARBONATODEOMYACAR1-T
484	554	17.23%TINTAAZUL
484	600	1.41%TIXOGELEZ-100
485	529	16.44%SOLUCIONDEAEROSIL
486	481	0.07%LECITINA DE SOYA
491	506	0.14%AGUA
551	739	KILOS
849	848	HOJA N12
942	750	1.000
958	660	0.236
959	637	0.235
960	614	0.014
962	591	0.176
963	569	0.164
964	520	0.164
964	544	0.164
965	496	0.001
968	472	1.000
1051	660	$148.00
1055	614	$158.67
1058	567	$180.00
1058	640	$30.59
1060	543	$106.35
1063	471	$750.50
1064	499	$120.00
1069	593	$6.89
1072	523	$0.00
1190	663	$34.91
1198	568	$29.59
1200	550	$17.48
1201	641	$7.19
1203	476	$92.80
1205	595	$1.21
1206	619	$2.24
1210	522	$0.00
1212	500	$0.17
