518	743	100.00%
529	1034	ANTITERRA204
535	301	60.000
536	188	394.97
538	65	$3,101.16
541	599	2.00%ANTITERRA204
554	945	PARAFINA CLORADAS-52
556	301	1.200
558	189	$153.62
564	65	$184.34
564	511	16.00%PARAFINA CLORADA S-52
576	1059	ROJO OXIDO
580	190	$36.53
580	303	009'6
584	67	$350.69
588	625	32.00%ROJOOXIDO
598	1039	PLIOWAYE-CH
601	304	19.200
603	191	$48.34
606	67	$928.13
610	606	15.00%PLIOWAYE-CH
620	1067	EXXOLD-40
625	192	$137.34
626	307	0006
629	70	$1,236.06
632	635	35.00%EXXOLD-40
645	306	21.000
648	193	$19.14
652	71	$401.94
710	1044	TINTA ROJA
728	570	KILOS
734	311	00009
804	319	HOJA N°6
