13	760	BASE ORGANICA ROJO OXIDO
16	552	PARAFINA CLORADA(S-52)
16	597	CARBONATO DEOMYA CAR1-T
16	667	SOLUCION DERESINA
17	484	AGUA
18	508	SOLUCION DEAEROSIL200
18	530	LECITINA DESOYA
18	576	PIGMENTOROJO OXIDO
19	624	TIXOGELEZ-100
19	648	EXXOLD-40
380	459	100.00%
386	504	22.16%SOLUCIONDEAEROSIL200
387	600	23.73%CARBONATODEOMYACAR1-T
389	669	30.86%SOLUCIONDERESINA
390	646	14.18%EXXOLD-40
392	483	0.19%AGUA
394	625	1.90%TIXOGELEZ-100
396	532	0.10%LECITINADESOYA
396	578	5.93%PIGMENTOROJOOXIDO
398	552	0.95%PARAFINA CLORADA(S-52)
462	766	KILOS
770	847	HOJA N°10
833	768	200.000
853	459	200.000
861	674	61.720
862	651	28.360
864	508	44.320
864	604	47.460
866	484	0.380
866	580	11.860
866	627	3.800
867	556	1.900
868	532	0.200
970	675	$148.00
972	627	$158.67
973	508	$106.35
973	532	$120.00
974	651	$30.59
979	556	$51.18
981	580	$99.00
986	459	720.68
990	604	$6.89
991	485	$0.00
1076	458	$16,940.85
1086	675	$9,134.56
1089	504	$4,713.43
1090	580	$1,174.14
1099	648	$867.53
1103	603	$327.00
1104	626	$602.95
1110	484	$0.000
1113	556	$97.24
1114	532	$24.00
