20	804	SOLUCION FASE ACUOSA
27	684	NATROSOLTILOSE
28	660	SULFATO DE SODIO
29	587	GOMA DEXHATAN
29	710	AGUA
30	563	AMONIACO
30	611	SKEN M-8
30	637	ADECIDE
413	562	100.00%
416	729	98.34%AGUA
428	705	0.19% NATROSOL TILOSE
430	585	0.02%AMONIACO
430	681	0.12%SULFATODESODIO
433	635	0.35% SKEN M-8
433	659	0.40%ADECIDE
434	611	0.58%GOMADEXHATAN
488	824	KILOS
872	843	600.000
880	752	590.040
896	591	600.000
904	732	1.140
906	707	0.720
907	682	2.400
912	614	0.120
912	637	3.480
912	659	2.100
1000	735	$230.00
1007	711	$50.00
1009	665	$200.00
1011	643	$200.00
1011	688	$99.00
1017	619	$40.00
1018	759	$0.00
1048	597	819
1129	740	$262.20
1130	599	$1,656.60
1135	695	$237.60
1135	718	$36.00
1135	764	$0.000
1138	672	$420.00
1140	648	$696.00
1158	629	$4.80
