505	724	100.00%
511	989	ANTITERRA204
518	207	375.69
518	313	52.000
521	93	$2,315.58
523	585	2.00%ANTITERRA204
532	899	PARAFINA CLORADA(S-52)
539	209	$153.62
541	315	1.040
543	95	$159.76
543	497	8.00%PARAFINA CLORADA(S-52)
554	994	VERDECROMO
558	316	4.160
563	97	$151.96
563	211	$36.53
565	593	48.00%VERDECROMO
575	1000	PLIOWAYEC-1
580	318	24.960
583	213	$29.06
585	98	$725.34
586	599	14.00%PLIOWAYEC-1
595	1023	EXXOLD-40
598	318	7.280
600	213	$137.34
606	622	28.00%EXXOLD-40
607	101	$999.84
619	319	14.560
622	215	$19.14
626	101	$278.68
681	908	TINTA VERDE CROMO
694	560	KILOS
701	323	52.000
762	331	HOJA N°8
